================================================================================
Ciąg liczb przypisanych do kwadratu (voxela) o położeniu (0,0,0)
================================================================================

Znaleziono 3,302 trójek (0,0,0) w ciągu π

Format: [pozycja_trójki] wartość_3-cyfrowa | kontekst_przed ... (0,0,0) ... kontekst_po
[ 287,225] 000 | ...38511 (0,0,0) 88120...
[ 288,130] 000 | ...89867 (0,0,0) 47406...
[ 288,228] 000 | ...11202 (0,0,0) 47132...
[ 288,724] 000 | ...02183 (0,0,0) 13533...
[ 290,765] 000 | ...68155 (0,0,0) 31362...
[ 290,867] 000 | ...49246 (0,0,0) 84644...
[ 293,611] 000 | ...34480 (0,0,0) 33794...
[ 293,965] 000 | ...85387 (0,0,0) 95357...
[ 294,453] 000 | ...72793 (0,0,0) 67525...

--- 300 / 3,302 ---

[ 296,284] 000 | ...08946 (0,0,0) 16837...
[ 296,941] 000 | ...19966 (0,0,0) 21666...
[ 299,079] 000 | ...73582 (0,0,0) 23785...
[ 299,414] 000 | ...35583 (0,0,0) 22255...
[ 299,850] 000 | ...33236 (0,0,0) 24450...
[ 301,257] 000 | ...82554 (0,0,0) 17096...
[ 301,909] 000 | ...78720 (0,0,0) 31324...
[ 302,585] 000 | ...36864 (0,0,0) 10358...
[ 303,290] 000 | ...54318 (0,0,0) 13574...
[ 306,276] 000 | ...66383 (0,0,0) 45419...
[ 307,308] 000 | ...09209 (0,0,0) 04370...
[ 307,836] 000 | ...82751 (0,0,0) 17394...
[ 308,886] 000 | ...60442 (0,0,0) 46669...
[ 310,208] 000 | ...39676 (0,0,0) 69668...
[ 312,148] 000 | ...00831 (0,0,0) 58808...
[ 314,564] 000 | ...20529 (0,0,0) 63918...
[ 315,090] 000 | ...64167 (0,0,0) 73947...
[ 315,846] 000 | ...60635 (0,0,0) 29766...
[ 316,414] 000 | ...02707 (0,0,0) 31128...
[ 319,512] 000 | ...01476 (0,0,0) 30237...
[ 320,037] 000 | ...16531 (0,0,0) 24157...
[ 322,018] 000 | ...27755 (0,0,0) 50420...
[ 322,542] 000 | ...74600 (0,0,0) 53765...
[ 326,902] 000 | ...90224 (0,0,0) 16162...
[ 327,095] 000 | ...97285 (0,0,0) 23185...
[ 328,009] 000 | ...55940 (0,0,0) 89837...
[ 328,611] 000 | ...12957 (0,0,0) 76874...
[ 328,686] 000 | ...02904 (0,0,0) 65699...
[ 330,163] 000 | ...67294 (0,0,0) 12642...
[ 330,762] 000 | ...46496 (0,0,0) 87363...
[ 333,674] 000 | ...68899 (0,0,0) 98667...
[ 333,687] 000 | ...80709 (0,0,0) 05823...
[ 335,708] 000 | ...68857 (0,0,0) 45747...
[ 337,643] 000 | ...21618 (0,0,0) 93661...
[ 339,477] 000 | ...81441 (0,0,0) 97560...
[ 340,251] 000 | ...57759 (0,0,0) 36061...
[ 340,386] 000 | ...04592 (0,0,0) 85966...
[ 341,393] 000 | ...53582 (0,0,0) 91640...
[ 341,781] 000 | ...25519 (0,0,0) 18906...
[ 345,070] 000 | ...82666 (0,0,0) 28940...
[ 349,062] 000 | ...46966 (0,0,0) 92625...
